# x x^2 sin(x)
0.000000 0.000000 0.000000
0.526316 0.277008 0.502351
1.052632 1.108033 0.868730
1.578947 2.493075 0.999967
2.105263 4.432133 0.860540
2.631579 6.925208 0.488189
3.157895 9.972299 -0.016301
3.684211 13.573407 -0.516380
4.210526 17.728532 -0.876688
4.736842 22.437673 -0.999701
5.263158 27.700831 -0.852122
5.789474 33.518006 -0.473898
6.315789 39.889197 0.032598
6.842105 46.814404 0.530271
7.368421 54.293629 0.884413
7.894737 62.326870 0.999170
8.421053 70.914127 0.843478
8.947368 80.055402 0.459480
9.473684 89.750693 -0.048887
10.000000 100.000000 -0.544021
